topic_id;name;uri
334;Cooperatives;http://dbpedia.org/resource/Category:Cooperatives
335;Socialism;http://dbpedia.org/resource/Category:Socialism
336;Public_finance;http://dbpedia.org/resource/Category:Public_finance
337;International_economics;http://dbpedia.org/resource/Category:International_economics
338;Production_economics;http://dbpedia.org/resource/Category:Production_economics
339;Macroeconomics;http://dbpedia.org/resource/Category:Macroeconomics
340;Law;http://dbpedia.org/resource/Category:Law
343;Military;http://dbpedia.org/resource/Category:Military
343;Tax_law;http://dbpedia.org/resource/Category:Tax_law
343;Military_justice;http://dbpedia.org/resource/Category:Military_justice
344;Labor;http://dbpedia.org/resource/Category:Labor
344;Labour_law;http://dbpedia.org/resource/Category:Labour_law
345;Criminal_law;http://dbpedia.org/resource/Category:Criminal_law
346;Private_law;http://dbpedia.org/resource/Category:Private_law
348;Law;http://dbpedia.org/resource/Category:Law
351;Public_administration;http://dbpedia.org/resource/Category:Public_administration
355;Military_science;http://dbpedia.org/resource/Category:Military_science
356;Infantry;http://dbpedia.org/resource/Category:Infantry
357;Cavalry;http://dbpedia.org/resource/Category:Cavalry
358;Air_forces;http://dbpedia.org/resource/Category:Air_forces
359;Navies;http://dbpedia.org/resource/Category:Navies
364;Criminology;http://dbpedia.org/resource/Category:Criminology
365;Penology;http://dbpedia.org/resource/Category:Penology
365;Prisons;http://dbpedia.org/resource/Category:Prisons
368;Insurance;http://dbpedia.org/resource/Category:Insurance
370;Education;http://dbpedia.org/resource/Category:Education
371;Special_education;http://dbpedia.org/resource/Category:Special_education
372;Primary_education;http://dbpedia.org/resource/Category:Primary_education
373;Secondary_education;http://dbpedia.org/resource/Category:Secondary_education
374;Adult_education;http://dbpedia.org/resource/Category:Adult_education
375;Curricula;http://dbpedia.org/resource/Category:Curricula
378;Higher_education;http://dbpedia.org/resource/Category:Higher_education
382;International_trade;http://dbpedia.org/resource/Category:International_trade
383;Postal_systems;http://dbpedia.org/resource/Category:Postal_systems
384;Communications;http://dbpedia.org/resource/Category:Communications
385;Rail_transport;http://dbpedia.org/resource/Category:Rail_transport
387;Water;http://dbpedia.org/resource/Category:Water
388;Transportation;http://dbpedia.org/resource/Category:Transportation
393;Death_customs;http://dbpedia.org/resource/Category:Death_customs
395;Etiquette;http://dbpedia.org/resource/Category:Etiquette
398;Folklore;http://dbpedia.org/resource/Category:Folklore
400;Language;http://dbpedia.org/resource/Category:Language
407;Education;http://dbpedia.org/resource/Category:Education
408;Groups_of_people;http://dbpedia.org/resource/Category:Groups_of_people
410;Linguistics;http://dbpedia.org/resource/Category:Linguistics
411;Writing_systems;http://dbpedia.org/resource/Category:Writing_systems
412;Etymology;http://dbpedia.org/resource/Category:Etymology
413;Dictionaries;http://dbpedia.org/resource/Category:Dictionaries
